V1	V2
AT4G25110	1
AT4G25630	1
AT4G26270	1
AT4G26520	1
AT4G26850	1
AT4G26870	1
AT4G27585	1
AT4G28080	1
AT4G28480	1
AT4G29130	1
AT4G29520	1
AT4G30400	1
AT4G30840	1
AT4G30890	1
AT4G31590	1
AT4G31700	1
AT4G31860	1
AT4G32600	1
AT4G34200	1
AT4G34550	1
AT4G34630	1
AT4G34740	1
AT4G34830	1
AT4G34950	1
AT4G35080	1
AT4G35260	1
AT4G35320	1
AT4G36130	1
AT4G37010	1
AT4G37320	1
AT4G37990	1
AT4G38100	1
AT4G38620	1
AT4G38710	1
AT4G38950	1
AT4G38960	1
AT4G39330	1
AT4G39960	1
AT5G01015	1
AT5G01020	1
AT5G01900	1
AT5G02490	1
AT5G02500	1
AT5G02870	1
AT5G03110	1
AT5G06790	1
AT5G07350	1
AT5G07370	1
AT5G07650	1
AT5G08380	1
AT5G09290	1
AT5G09530	1
AT5G09650	1
AT5G10010	1
AT5G10660	1
AT5G11210	1
AT5G12860	1
AT5G12920	1
AT5G13060	1
AT5G13080	1
AT5G13650	1
AT5G14030	1
AT5G14040	1
AT5G14200	1
AT5G14920	1
AT5G17760	1
AT5G19440	1
AT5G19750	1
AT5G19880	1
AT5G20130	1
AT5G20960	1
AT5G21100	1
AT5G22060	1
AT5G23730	1
AT5G23920	1
AT5G24020	1
AT5G24150	1
AT5G26690	1
AT5G26600	1
AT5G36160	1
AT5G36880	1
AT5G38130	1
AT5G38830	1
AT5G38900	1
AT5G40380	1
AT5G42130	1
AT5G42740	1
AT5G42760	1
AT5G44460	1
AT5G45000	1
AT5G47620	1
AT5G48060	1
AT5G48310	1
AT5G48410	1
AT5G48830	1
AT5G48840	1
AT4G08410	1
AT5G49680	1
AT5G49910	1
AT5G50310	1
AT5G50820	1
AT5G51770	1
AT5G52540	1
AT5G53280	1
AT5G54130	1
AT5G54610	1
AT5G54640	1
AT5G54800	1
AT5G55070	1
AT5G55510	1
AT5G55620	1
AT5G55630	1
AT5G56000	1
AT5G56010	1
AT5G56030	1
AT5G56740	1
AT5G60250	1
AT5G60670	1
AT5G60960	1
AT5G61020	1
AT5G62140	1
AT5G62480	1
AT5G62730	1
AT5G62820	1
AT5G63570	1
AT5G65683	1
AT5G66310	1
AT5G66680	1
AT5G67280	1
