V1	V2
AT3G57550	1
AT3G57680	1
AT3G57740	1
AT3G60390	1
AT3G61060	1
AT3G61850	1
AT3G61990	1
AT3G62090	1
AT3G62390	1
AT3G62860	1
AT3G63050	1
AT3G63060	1
AT4G00660	1
AT4G00720	1
AT4G00970	1
AT4G01250	1
AT4G01370	1
AT4G01480	1
AT4G04630	1
AT4G04830	1
AT4G05150	1
AT4G05170	1
AT5G24670	1
AT4G08850	1
AT4G09020	1
AT4G09560	1
AT4G09820	1
AT4G11300	1
AT4G12070	1
AT4G12090	1
AT4G12460	1
AT4G13830	1
AT4G14090	1
AT4G14580	1
AT4G16780	1
AT4G17230	1
AT4G17900	1
WS2_G0021828	1
AT4G18170	1
AT4G18197	1
AT4G18205	1
AT4G18340	1
AT4G19560	1
AT4G20320	1
AT4G20780	1
AT4G20820	1
AT4G21060	1
AT4G21390	1
AT4G22120	1
AT4G22190	1
AT4G22990	1
AT4G23680	1
AT4G23810	1
AT4G24040	1
AT4G24230	1
AT4G24240	1
AT4G24630	1
AT4G24800	1
AT4G24890	1
AT4G27410	1
AT4G27450	1
AT4G28085	1
AT4G28140	1
AT4G28350	1
AT4G29740	1
AT4G29900	1
AT4G30350	1
AT4G30510	1
AT4G30960	1
AT4G31140	1
AT4G31240	1
AT4G31380	1
AT4G31550	1
AT4G32280	1
AT4G32300	1
AT4G33020	1
AT4G33960	1
AT4G34138	1
AT4G34180	1
AT4G35470	1
AT4G35480	1
AT4G35770	1
AT4G35900	1
AT4G36410	1
AT4G36500	1
AT4G36670	1
AT4G36850	1
AT4G36900	1
AT4G36970	1
AT4G37370	1
AT4G38470	1
AT4G38550	1
AT4G40080	1
AT5G01560	1
AT5G01950	1
AT5G02020	1
AT5G02170	1
AT5G02200	1
AT5G03470	1
AT5G04040	1
AT5G04480	1
AT5G04770	1
AT5G05140	1
AT5G05850	1
AT5G05860	1
AT5G05930	1
AT5G06480	1
AT5G06860	1
AT5G07440	1
AT5G07990	1
AT5G08130	1
AT5G08520	1
AT5G09440	1
AT5G11670	1
AT5G12050	1
AT5G13740	1
AT5G15330	1
AT5G15730	1
AT5G15870	1
AT5G16120	1
AT5G16370	1
AT5G16390	1
AT5G16820	1
AT5G17330	1
AT5G18130	1
AT5G18170	1
AT5G18630	1
AT5G18650	1
AT5G19230	1
AT5G19470	1
AT5G19530	1
AT5G20050	1
AT5G20250	1
AT5G21170	1
AT5G22270	1
AT5G22290	1
AT5G22690	1
AT5G22920	1
AT5G23050	1
AT3G24255	1
AT5G23670	1
AT5G24770	1
AT5G24780	1
AT5G25210	1
AT5G26220	1
AT5G27350	1
AT5G28000	1
AT5G28610	1
AT5G28630	1
WS2_G0027788	1
AT5G36000	1
AT5G37260	1
AT5G37780	1
AT5G37980	1
AT5G37980	1
AT5G37990	1
AT5G38210	1
AT5G39020	1
AT5G39340	1
AT5G40460	1
AT5G40670	1
AT5G40740	1
AT5G40890	1
AT5G40910	1
AT5G41100	1
AT5G41120	1
AT5G41590	1
AT5G41600	1
AT5G43190	1
AT5G43890	1
AT5G44060	1
AT5G44070	1
AT5G44210	1
AT5G44260	1
AT5G45840	1
AT5G46080	1
AT5G46830	1
AT5G47020	1
AT5G47240	1
AT5G47390	1
AT5G47430	1
AT5G47640	1
AT5G48180	1
AT5G48385	1
AT5G48850	1
AT5G49360	1
AT5G49450	1
WS2_G0029368	1
AT5G49900	1
AT5G50090	1
AT5G50360	1
AT5G50930	1
AT5G51180	1
AT5G51550	1
AT5G52120	1
AT5G54060	1
AT5G56210	1
AT5G56870	1
AT5G57220	1
AT5G57480	1
AT5G57630	1
AT5G57655	1
AT5G57660	1
AT5G57710	1
AT5G59220	1
AT5G59340	1
AT5G59430	1
AT5G60430	1
AT5G60850	1
AT5G61430	1
AT5G62470	1
AT5G63160	1
AT5G63190	1
AT5G63410	1
AT5G63470	1
AT5G63620	1
AT5G63810	1
AT5G64860	1
AT5G65110	1
AT5G65280	1
AT5G66050	1
AT5G66480	1
AT5G66730	1
AT5G66880	1
AT5G67080	1
AT2G07641	1
WS2_G0031588	1
AT2G07695	1
